			 			12252
Visual Computing Group, Swansea University, UK.			 			3
Visual Intelligence Laboratory, Department of Computer Science and Engineering, Harbin Institute of Technology, P.O. Box 321, 150001 Harbin, Heilongjiang Province, P.R. China			Harbin Institute of Technology			3
Visualization Group, Delft University of Technology, NL			Delft University of Technology			3
Voting Systems Institute, Los Angeles, CA			 			3
Vrije Universiteit Brussel, Belgium			 			3
Vrije Universiteit Brussel, ETRO-IRIS, Brussels, Belgium			 			3
Växjö University and Uppsala University			Uppsala University			3
WINLAB, Department of Electrical and Computer Engineering, Rutgers University, North Brunswick, NJ			 			3
WINLAB, ECE Department, Rutgers University			 			3
WINLAB, Rutgers University, North Brunswick, NJ			 			3
WINLAB, Technology Centre of New Jersery, Rutgers and The State University of New Jersey, North Brunswick			Rutgers, The State University of New Jersey			3
WVU, Morgantown, WV, USA			 			3
Warsaw University			Warsaw University			3
Warsaw University, Poland			Warsaw University			3
Washington State University, Pullman, WA			 			3
Washington State University, USA			 			3
Washington Univ. St. Louis			 			3
Washington University in St. Louis, MO			Washington University in St. Louis			3
Washington University in St.Louis, Department of Computer Science and Engineering			Washington University in St. Louis			3
Waterford Institute of Technology, Waterford, Ireland			 			3
Watson Research Center, IBM, Hawthorne, NY, USA			IBM			3
Wearable Computing Lab, ETH Zurich, Zurich, Switzerland			ETH Zurich			3
Wearable Computing Lab., ETH Zurich, Gloriastrasse 35, 8092 Zurich, Switzerland			ETH Zurich			3
Webscalers, LLC, Lafayette, LA and SUNY at Binghamton, Binghamton, NY			 			3
Webscalers, LLC, Lafayette, LA and University of Louisiana at Lafayette, Lafayette, LA			 			3
Wichita State University			 			3
Winston Salem State University			 			3
Wireless Network Laboratory, Department of Electrical and Electronics Engineering, Yonsei University, Seoul, Korea			Yonsei University			3
Wisconsin National Primate Research Center, University of Wisconsin, Madison, WI			University of Wisconsin-Madison			3
Woods Hole Research Center			 			3
Wright State University, Dayton, OH, USA			 			3
Wroclaw University of Technology			 			3
XLIM-SIC Laboratory, UMR CNRS 6172, University of Poitiers, bat. SP2MI, av. Marie et Pierre Curie, 86960 Chasseneuil-Futuroscope, France			 			3
Xerox Research Center Europe, Meylan, France			 			3
Xerox Research Centre Europe			 			3
Xerox Research Centre Europe, Meylan, France 38240			 			3
Xilinx			 			3
Xilinx, Longmont, CO, USA			 			3
Xilinx, San Jose, CA, USA			 			3
Yahoo Software Development Center			Yahoo			3
Yahoo! Inc., Berkeley, CA, USA			Yahoo			3
Yahoo! Inc., Montreal, PQ, Canada			Yahoo			3
Yahoo! Labs Montreal, Montreal, PQ, Canada			Yahoo			3
Yahoo! Labs, Bengaluru, India			Yahoo			3
Yahoo! Research Labs			Yahoo			3
Yahoo! Research Labs, Barcelona, Spain			Yahoo			3
Yahoo! Research and UC Berkeley, Santa Clara, CA			University of California, Berkeley			3
Yahoo! Research, New York			Yahoo			3
Yahoo! Research, Santa Clara			Yahoo			3
Yahoo! Research, Santa Clara, California, USA			Yahoo			3
Yahoo! Research, Santa Clara, USA 95054			Yahoo			3
Yahoo&excl Research, Barcelona, Spain			Yahoo			3
Yale University, New Haven, CT , U.S.A.			Yale University			3
Yangzhou University			 			3
Yanshan University, Qinhuangdao, China			 			3
York University , Toronto, ON, Canada			University of Toronto			3
York University, Department of Computer Science, Toronto, Ontario M3J 1P3			York University			3
Yuan Ze University, Chungli, Taiwan			 			3
Yuan Ze University, Chungli, Taiwan Roc			 			3
Zanvyl-Krieger Mind Brain Institute and Department of Neuroscience, Johns Hopkins University, Baltimore, MD			Johns Hopkins University			3
Zhejiang Key Laboratory of Service Robot, College of Computer Science, Zhejiang University			Zhejiang University			3
Zhejiang University and Microsoft Research Asia			Zhejiang University			3
Zhejiang University, HangZhou			Zhejiang University			3
Zhejiang University, Zhejiang, China			Zhejiang University			3
Zi Decuma AB, Ole Römers väg 16, SE-223 70 Lund, Sweden			 			3
Zuse Institute Berlin, Berlin			 			3
asafico@tau.ac.il			 			3
costis@cs.berkeley.edu and christos@cs.berkeley.edu			 			3
eBay Inc, San Jose, CA, USA			 			3
eyalk@cs.technion.ac.il			 			3
idish@ee.technion.ac.il			 			3
johanh@kth.se			Royal Institute of Technology			3
kabanets@cs.sfu.ca			 			3
liamr@macs.biu.ac.il			 			3
medrapid GmbH, Heidelberg, Germany			 			3
nogaa@tau.ac.il			 			3
parik@microsoft.com			Microsoft			3
the Hong Kong University of Science and Technology			Hong Kong University of Science and Technology			3
yrabani@cs.huji.ac.il			 			3
yuvali@cs.technion.ac.il and eyalk@cs.technion.ac.il and erez@cs.technion.ac.il			 			3
École Nationale Supérieure d'Ingénieurs de Caen			 			3
École Normale Supérieure, CNRS-INRIA, Paris, France			 			3
École Polytechnique Fédérale de Lausanne, Lausanne			École Polytechnique Fédérale de Lausanne			3
École Polytechnique de Montréal, Canada			École Polytechnique			3
École normale supérieure, Paris, France			École Normale Supérieure, Paris			3
ícole Nationale Supérieure des Télécommunications, Département TSI, CNRS UMR 5141 LTCI, 46, rue Barrault, 75634 Paris Cedex 13, France			 			3
“La Sapienza” University of Rome, Roma, Italy			 			3
, Pasadena, USA 91125			 			2
201 Bell Hall, University at Buffalo, Buffalo, USA 14260-2000			 			2
3000), Argentina			 			2
3D Image System Simulation Lab, Department of Electronic Engineering, Tsinghua University, Beijing 100084, China			Tsinghua University			2
A. I. Insight			 			2
ABB Corporate Research, Raleigh, NC, USA			 			2
ABB Corporate Research, USA			 			2
ABB Inc.			 			2
ABC Pool			 			2
ACCESS Linnaeus Centre, Electrical Engineering, KTH, Stockholm, Sweden			Royal Institute of Technology			2
ACM U.S. Public Policy Office in Washington, D.C.			 			2
ACM U.S. Public Policy Office, Washington, D.C.			 			2
ADSIP Research Centre, Department of Technology, University of Central Lancashire, Preston PR1 2HE, UK			 			2
AGH University of Science and Technology			 			2
AGH University of Science and Technology, Kraków			 			2
AI Management and Development Corporation, Toronto, Ontario, Canada			 			2
AI group, National Institute for Research in Informatics			 			2
AIFB Institute, University of Karlsruhe, Karlsruhe, Germany			 			2
AIFB, Universität Karlsruhe, Karlsruhe, Germany			Universität Karlsruhe			2
AIST), Ibaraki, Japan			 			2
AIST), Tokyo, Japan			 			2
AIT Austrian Institute of Technology, Vienna, Austria and PRIP, Vienna University of Technology, Austria			Vienna University of Technology			2
ALCHEMY Group, INRIA Futurs and LRI, Paris-Sud 11 University, France			 			2
ALaRI, Faculty of Informatics, University of Lugano, Lugano			 			2
AMD Research, Advanced Micro Devices, Inc.			 			2
AMD Research, Bellevue, WA			 			2
AMD, USA			 			2
ANU, Canberra, Australia			 			2
ARC Centre for Perceptive and Intelligent Machines in Complex Environments, Department of Electrical and Computer Systems Engineering, Monash University, Australia 3800			Monash University			2
ARC Special Centre for Ultra-Broadband Information Networks, National ICT Australia, Department of Electrical and Electronic Engineering, University of Melbourne, Victoria, Australia			The University of Melbourne			2
ARC Special Research Center for Ultra-Broadband Information Networks, Department of Electrical and Electronic Engineering, The Unveristy of Melbourne, Melbourne, Australia			 			2
AT&T Laboratories-Research, Florham Park			 			2
AT&T Labs - Research, Florham Park, NJ 07932, USA			AT&T Labs			2
AT&T Labs - Research, Middletown, NJ, USA			AT&T Labs			2
AT&T Labs - Research, NJ			AT&T Labs			2
AT&T Labs Inc.			AT&T Labs			2
AT&T Labs, Florham Park, NJ			AT&T Labs			2
AT&T Labs, Florham Park,NJ, NJ, USA			AT&T Labs			2
AT&T Labs, Middletown, NJ			AT&T Labs			2
AT&T Labs---Research, Florham Park, NJ			AT&T Labs			2
AT&T Labs---Research, Florham Park, USA			AT&T Labs			2
AT&T Labs——Research			AT&T Labs			2
AT&T Research, Florham Park, NJ, USA			 			2
AT&TLabs			 			2
AT&TLabs - Research, 180 Park Avenue, Florham Park, NJ 07932, USA. johnsont@research.att.com			 			2
AT&TLabs - Research, 180 Park Avenue, Florham Park, NJ 07932, USA. spatsch@research.att.com			 			2
AT&TLabs - Research, 180 Park Avenue, Florham Park, NJ 07932, USA. vshkap@research.att.com			 			2
AT&TLabs-Research, Florham Park, NJ			 			2
AT&TLabs-Research, Florham Park, NJ 07932, USA. marioh@research.att.com			 			2
ATR Lab, National University of Defense Technology, Chang sha, China 410073			 			2
ATR National Laboratory, Institute of Electronic Science and Engineering, National University of Defense Technology, Changsha, Hunan 410073, China			 			2
ATR National Laboratory, National University of Defense Technology, Changsha, China			 			2
Aalborg Universitet, Aalborg, Denmark			 			2
Aalborg University, Denmark & The University of Melbourne, Australia			The University of Melbourne			2
Aalborg University: Department of Computer Science, Aalborg, Denmark			 			2
Aalto University, Finland			Aalto University			2
Aalto University, School of Electrical Engineering, Department of Signal Processing and Acoustics, P.O. Box 13000, FI-00076 Aalto, Finland			Aalto University			2
Aarhus University, Aarhus			Aarhus University			2
Academia Sinica, Nankang, Taiwan Roc			 			2
Academia Sinica, Taipei City, Taiwan Roc			 			2
Academic College of Tel-Aviv Yaffo			 			2
Active Vision Lab, Robotics Research Group, Department of Engineering Science, University of Oxford, Oxford, UK OX1 3PJ			University of Oxford			2
Adaptive Informatics Research Centre, Department of Information and Computer Science, Helsinki University of Technology, TKK, Finland 02015 and Helsinki Institute for Information Technology HIIT,  ...			 			2
Adaptive Information Cluster, School of Computer Science and Informatics, University College Dublin, Ireland			University College Dublin			2
Adler Planetarium and Astronomy Museum, Chicago			 			2
Adobe Systems and University of Washington, Seattle, WA			University of Washington			2
Adobe Systems, Inc. and Princeton University			Princeton University			2
Adobe Systems, Seattle, WA			 			2
Advanced Computer Architecture Lab, University of Michigan, Ann Arbor, MI			University of Michigan			2
Advanced Computer Architecture Lab, University of Michigan, USA			University of Michigan			2
Advanced Computing Research Centre, University of South Australia			 			2
Advanced Micro Devices Inc., Austin			 			2
Advanced Micro Devices, Austin, TX			 			2
Advanced Micro Devices, Sunnyvale, CA			 			2
Aff1 Aff3			 			2
Agency for Defense Development, Daejon, Korea			 			2
